Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
130,"Western Kentucky   15 seed, ❌",CUSA,31,22-128–8,105.5173,101.8103,.6011130,51.7115,48.678,18.4278,18.489,28.8174,26.779,32.1192,33.0190,51.8112,48.692,34.3156,32.483,31.1317,40.5286,75.11,-6.6134
131,"Morehead St.   14 seed, ❌",OVC,31,26-914–4,107.5138,103.8144,.5974131,54.235,46.413,18.2263,15.4284,31.981,26.570,30.6242,32.3170,55.122,45.820,35.398,31.853,45.224,31.626,64.3336,-3.490
137,"Akron   14 seed, ❌",MAC,33,24-1113–5,105.1178,101.9105,.5878137,51.7115,49.194,16.9174,16.7189,29.2157,25.646,32.7178,29.494,54.730,50.8193,31.7288,30.721,41.670,36.8166,65.8283,-4.6103
138,"South Dakota St.   15 seed, ❌",Sum,32,22-1312–4,108.2127,105.2170,.5815138,55.217,51.3221,16.6152,16.4211,24.4303,25.132,30.1256,27.041,55.619,49.5136,36.437,35.5284,40.498,46.9361,67.9150,-7.7150
162,"Colgate   14 seed, ❌",Pat,34,25-1016–2,102.8221,102.9129,.4982162,53.353,47.943,16.2114,16.2228,25.1296,24.826,27.5319,24.513,53.457,49.1113,35.584,30.823,38.1155,40.0278,66.3259,-4.297
181,"Longwood   16 seed, ❌",BSth,32,21-146–10,104.1205,105.5180,.4604181,49.1248,51.9255,18.3271,19.445,36.314,25.953,39.529,36.2273,48.4260,51.4226,34.0172,35.1262,28.4346,39.6260,66.9225,-8.8173
191,"Long Beach St.   15 seed, ❌",BW,34,21-1510–10,105.1179,107.6220,.4317191,48.5265,51.1209,17.1184,18.392,33.251,29.4198,37.855,32.3170,49.3220,49.9152,30.9320,35.1262,28.1348,43.7345,71.623,-8.3168
206,"Montana St.   16 seed, ❌",BSky,32,17-189–9,103.6216,107.1210,.4050206,54.235,52.3277,16.7159,18.579,20.5357,28.9174,30.6242,36.9284,53.651,54.0326,36.731,32.7102,41.766,34.781,68.6114,-12.8269
218,"Saint Peter's   15 seed, ❌",MAAC,32,19-1412–8,96.9317,101.293,.3801218,44.6353,47.125,19.2314,20.428,34.529,29.9217,38.051,42.5340,42.3359,46.631,33.2209,32.166,31.5308,34.989,64.1338,-8.9175
235,"Stetson   16 seed, ❌",ASun,32,22-1311–5,107.9134,114.3347,.3411235,52.867,52.3277,15.995,13.5344,27.4230,31.5300,31.8208,25.521,52.1102,52.6286,35.962,34.6233,41.766,37.3190,66.2261,-7.0140
262,"Grambling St.   16 seed, ❌",SWAC,33,21-1514–4,98.9288,106.4190,.3023262,48.1275,49.7127,20.0330,18.864,27.9206,32.8328,38.836,33.8214,46.9305,48.897,34.0172,34.3210,29.0342,34.272,64.8323,-8.1159
276,"Howard   16 seed, ❌",MEAC,33,18-179–5,104.7191,113.6338,.2798276,51.7115,51.1209,21.2346,16.6196,33.349,30.3229,42.110,38.4301,49.1235,50.9199,37.220,34.4221,39.0132,33.247,67.9156,-12.2251
286,"Wagner   16 seed, ❌",NEC,31,17-167–9,96.2325,105.2172,.2620286,45.1347,48.882,15.784,16.8185,28.8174,27.7111,26.4338,30.2117,43.1358,51.0205,32.2261,30.415,37.7167,40.8291,61.5361,-11.7238
